publish_date,sentiment_polarity,Date,sentiment_subjectivity,Open,High,Low,Close,Volume
{'$date': '2017-01-06T16:54:54.000+0000'},0.05136054421768707,2017-01-06,0.5338321995464852,795.26,807.9,792.2,806.15,1640170.0
{'$date': '2017-01-24T15:34:59.000+0000'},0.1481060606060606,2017-01-24,0.3742424242424242,822.3,825.9,817.82,823.87,1474010.0
{'$date': '2017-01-24T09:05:00.000+0000'},0.1941919191919192,2017-01-24,0.5600448933782266,822.3,825.9,817.82,823.87,1474010.0
{'$date': '2017-03-08T00:00:00.000+0000'},0.0,2017-03-08,0.0,833.51,838.15,831.79,835.37,989773.0
{'$date': '2017-03-08T00:00:00.000+0000'},0.01867231638418079,2017-03-08,0.3073163841807909,833.51,838.15,831.79,835.37,989773.0
{'$date': '2017-03-08T12:10:22.000+0000'},0.09839743589743592,2017-03-08,0.3791666666666667,833.51,838.15,831.79,835.37,989773.0
{'$date': '2017-03-08T00:00:00.000+0000'},0.0744489146119581,2017-03-08,0.4259310496267017,833.51,838.15,831.79,835.37,989773.0
{'$date': '2017-01-20T00:00:00.000+0000'},-0.08888888888888889,2017-01-20,0.3944444444444444,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T00:00:00.000+0000'},5.551115123125783e-18,2017-01-20,0.3575,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-03-14T13:40:52.000+0000'},0.1383763227513227,2017-03-14,0.4900352733686069,843.64,847.24,840.8,845.62,780198.0
{'$date': '2017-03-09T14:49:19.000+0000'},0.09616190866190867,2017-03-09,0.3878105378105379,836.0,842.0,834.21,838.68,1261517.0
